# Time-averaged data for fix myat2
# TimeStep v_density
37400 0.00701584
37500 0.0087698
37600 0.00993911
37700 0.0116931
37800 0.0105238
37900 0.013447
38000 0.0111084
38100 0.0128624
38200 0.0111084
38300 0.00935446
38400 0.0087698
38500 0.0116931
38600 0.0116931
38700 0.00993911
38800 0.0087698
38900 0.0087698
39000 0.00935446
39100 0.00993911
39200 0.0122777
39300 0.013447
39400 0.00935446
39500 0.0087698
39600 0.00935446
39700 0.00993911
39800 0.0116931
39900 0.0116931
40000 0.0122777
40100 0.0128624
40200 0.0116931
40300 0.0116931
40400 0.00993911
40500 0.00993911
40600 0.0087698
40700 0.00935446
40800 0.0105238
40900 0.00935446
41000 0.0116931
41100 0.0105238
41200 0.00818515
41300 0.00701584
41400 0.0076005
41500 0.00701584
41600 0.0105238
41700 0.00818515
41800 0.00935446
41900 0.0111084
42000 0.00993911
42100 0.00993911
42200 0.013447
42300 0.013447
42400 0.0111084
42500 0.0105238
42600 0.0105238
42700 0.00993911
42800 0.00993911
42900 0.00993911
43000 0.00935446
43100 0.00935446
43200 0.00993911
43300 0.0076005
43400 0.0087698
43500 0.0105238
43600 0.0087698
43700 0.0087698
43800 0.0087698
43900 0.00584654
44000 0.00350792
44100 0.00643119
44200 0.00818515
44300 0.00935446
44400 0.00818515
44500 0.0128624
44600 0.013447
44700 0.0157856
44800 0.0175396
44900 0.0157856
45000 0.0146163
45100 0.0128624
45200 0.0122777
45300 0.0111084
45400 0.0076005
45500 0.00993911
45600 0.00993911
45700 0.0116931
45800 0.00935446
45900 0.00818515
46000 0.00935446
46100 0.0076005
46200 0.00993911
46300 0.00935446
46400 0.0076005
46500 0.00584654
46600 0.00584654
46700 0.0076005
46800 0.00643119
46900 0.00467723
47000 0.00467723
47100 0.00584654
47200 0.00818515
47300 0.00701584
47400 0.00526188
47500 0.00701584
47600 0.00584654
47700 0.00993911
47800 0.0128624
47900 0.0111084
48000 0.00935446
48100 0.00935446
48200 0.00935446
48300 0.00993911
48400 0.0111084
48500 0.0087698
48600 0.00993911
48700 0.0076005
48800 0.00818515
48900 0.00818515
49000 0.0105238
49100 0.00935446
49200 0.0087698
49300 0.0076005
49400 0.00701584
49500 0.0076005
49600 0.00935446
49700 0.00993911
49800 0.00993911
49900 0.0087698
50000 0.00467723
50100 0.00701584
50200 0.0087698
50300 0.00701584
50400 0.00701584
50500 0.00701584
50600 0.00526188
50700 0.00526188
50800 0.00526188
50900 0.00701584
51000 0.00818515
51100 0.00643119
51200 0.00701584
51300 0.00818515
51400 0.00701584
51500 0.00701584
51600 0.0087698
51700 0.0076005
51800 0.0076005
51900 0.00818515
52000 0.00935446
52100 0.00935446
52200 0.0111084
52300 0.0140317
52400 0.0128624
52500 0.00935446
52600 0.0105238
52700 0.0116931
52800 0.0122777
52900 0.0116931
53000 0.00935446
53100 0.0105238
53200 0.0087698
53300 0.00818515
53400 0.00584654
53500 0.00643119
53600 0.00409258
53700 0.00818515
53800 0.00993911
53900 0.0105238
54000 0.0105238
54100 0.00935446
54200 0.00935446
54300 0.0116931
54400 0.00935446
54500 0.0116931
54600 0.0116931
54700 0.00701584
54800 0.00584654
54900 0.00643119
55000 0.00584654
55100 0.00818515
55200 0.00701584
55300 0.00935446
55400 0.00993911
55500 0.00935446
55600 0.00701584
55700 0.00701584
55800 0.00701584
55900 0.00701584
56000 0.00818515
56100 0.0076005
56200 0.00993911
56300 0.0105238
56400 0.0116931
56500 0.0122777
56600 0.0116931
56700 0.0116931
56800 0.0111084
56900 0.0116931
57000 0.0122777
57100 0.00818515
57200 0.00935446
57300 0.0087698
57400 0.00818515
57500 0.0087698
57600 0.0076005
57700 0.0076005
57800 0.0087698
57900 0.00701584
58000 0.00935446
58100 0.00993911
58200 0.0076005
58300 0.0087698
58400 0.0116931
58500 0.013447
58600 0.0111084
58700 0.00993911
58800 0.0111084
58900 0.0087698
59000 0.00643119
59100 0.00818515
59200 0.00818515
59300 0.0076005
59400 0.00701584
59500 0.00584654
59600 0.00818515
59700 0.00993911
59800 0.00993911
59900 0.00993911
60000 0.00993911
60100 0.0122777
60200 0.00993911
60300 0.0087698
60400 0.0111084
60500 0.0122777
60600 0.0076005
60700 0.00643119
60800 0.0076005
60900 0.00993911
61000 0.0116931
61100 0.00993911
61200 0.0076005
61300 0.00818515
61400 0.00818515
61500 0.0087698
61600 0.0105238
61700 0.0116931
61800 0.0140317
61900 0.0140317
62000 0.0116931
62100 0.0111084
62200 0.013447
62300 0.0146163
62400 0.013447
62500 0.0116931
62600 0.0111084
62700 0.00935446
62800 0.00993911
62900 0.00818515
63000 0.00935446
63100 0.0128624
63200 0.0146163
63300 0.013447
63400 0.0128624
63500 0.0111084
63600 0.0111084
63700 0.00935446
63800 0.0087698
63900 0.0087698
64000 0.00701584
64100 0.0105238
64200 0.00993911
64300 0.00993911
64400 0.0076005
64500 0.0087698
64600 0.0116931
64700 0.00993911
64800 0.0111084
64900 0.0122777
65000 0.0111084
65100 0.0116931
65200 0.0122777
65300 0.013447
65400 0.013447
65500 0.0140317
65600 0.0122777
65700 0.0111084
65800 0.0111084
65900 0.00935446
66000 0.00935446
66100 0.00701584
66200 0.00935446
66300 0.00818515
66400 0.0105238
66500 0.00935446
66600 0.0105238
66700 0.00701584
66800 0.00350792
66900 0.00467723
67000 0.00643119
67100 0.0076005
67200 0.00993911
67300 0.0105238
67400 0.00935446
67500 0.00935446
67600 0.0111084
67700 0.00935446
67800 0.0076005
67900 0.00818515
68000 0.00993911
68100 0.0122777
68200 0.00993911
68300 0.0087698
68400 0.00643119
68500 0.00526188
68600 0.0076005
68700 0.0076005
68800 0.00643119
68900 0.00701584
69000 0.00993911
69100 0.0087698
69200 0.0087698
69300 0.0087698
69400 0.0105238
69500 0.0105238
69600 0.00935446
69700 0.0076005
69800 0.0076005
69900 0.00818515
70000 0.0105238
70100 0.0105238
70200 0.0105238
70300 0.00935446
70400 0.00993911
70500 0.00701584
70600 0.00818515
70700 0.00701584
70800 0.00526188
70900 0.0087698
71000 0.0111084
71100 0.0105238
71200 0.00818515
71300 0.00818515
71400 0.00935446
71500 0.0087698
71600 0.00935446
71700 0.0105238
71800 0.0116931
71900 0.00935446
72000 0.0105238
72100 0.0087698
72200 0.00993911
72300 0.00935446
72400 0.00818515
72500 0.00818515
72600 0.0087698
72700 0.0087698
72800 0.00935446
72900 0.00993911
73000 0.0116931
73100 0.0076005
73200 0.0105238
73300 0.0111084
73400 0.0087698
73500 0.0111084
73600 0.0140317
73700 0.0128624
73800 0.0111084
73900 0.0122777
74000 0.0116931
74100 0.0111084
74200 0.0128624
74300 0.0116931
74400 0.0087698
74500 0.00643119
74600 0.00993911
74700 0.00701584
74800 0.00701584
74900 0.00701584
75000 0.00643119
75100 0.00935446
75200 0.0087698
75300 0.0105238
75400 0.00993911
75500 0.00993911
75600 0.0087698
75700 0.00818515
75800 0.00818515
75900 0.0087698
76000 0.00935446
76100 0.00818515
76200 0.0105238
76300 0.00935446
76400 0.0076005
76500 0.00818515
76600 0.0087698
76700 0.00993911
76800 0.0105238
76900 0.00818515
77000 0.00701584
77100 0.00409258
77200 0.00584654
77300 0.00701584
77400 0.00643119
77500 0.00701584
77600 0.00993911
77700 0.0111084
77800 0.0116931
77900 0.00993911
78000 0.00993911
78100 0.00993911
78200 0.0122777
78300 0.0122777
78400 0.0122777
78500 0.0087698
78600 0.0076005
78700 0.00818515
78800 0.00935446
78900 0.0111084
79000 0.0087698
79100 0.00935446
79200 0.0087698
79300 0.0087698
79400 0.0087698
79500 0.0087698
79600 0.00643119
79700 0.00993911
79800 0.0111084
79900 0.00993911
80000 0.00818515
80100 0.0111084
80200 0.00935446
80300 0.00701584
80400 0.0087698
80500 0.00818515
80600 0.00643119
80700 0.0076005
80800 0.0087698
80900 0.0076005
81000 0.00526188
81100 0.00701584
81200 0.00701584
81300 0.00935446
81400 0.0116931
81500 0.00993911
81600 0.0122777
81700 0.0122777
81800 0.0140317
81900 0.0116931
82000 0.013447
82100 0.013447
82200 0.0146163
82300 0.0146163
82400 0.0128624
82500 0.0122777
82600 0.0116931
82700 0.0111084
82800 0.0111084
82900 0.00818515
83000 0.0105238
83100 0.00818515
83200 0.0105238
83300 0.0105238
83400 0.0105238
83500 0.0122777
83600 0.0116931
83700 0.0116931
83800 0.0116931
83900 0.0128624
84000 0.0128624
84100 0.0128624
84200 0.0116931
84300 0.0111084
84400 0.015201
84500 0.015201
84600 0.0140317
84700 0.0116931
84800 0.0111084
84900 0.0105238
85000 0.00701584
85100 0.00701584
85200 0.00935446
85300 0.00643119
85400 0.00643119
85500 0.00643119
85600 0.0087698
85700 0.00935446
85800 0.00993911
85900 0.00935446
86000 0.0116931
86100 0.0128624
86200 0.0116931
86300 0.0105238
86400 0.0111084
86500 0.0116931
86600 0.00935446
86700 0.00935446
86800 0.0087698
86900 0.0076005
87000 0.0076005
87100 0.00818515
87200 0.00993911
87300 0.0111084
87400 0.0111084
87500 0.00993911
87600 0.00701584
87700 0.0087698
87800 0.0087698
87900 0.00993911
88000 0.0087698
88100 0.00935446
88200 0.0105238
88300 0.00993911
88400 0.00993911
88500 0.0122777
88600 0.0128624
88700 0.015201
88800 0.0116931
88900 0.00818515
89000 0.00993911
89100 0.0105238
89200 0.0111084
89300 0.0111084
89400 0.00818515
89500 0.0087698
89600 0.00935446
89700 0.00701584
89800 0.00701584
89900 0.00409258
90000 0.00467723
90100 0.00409258
90200 0.00584654
90300 0.00467723
90400 0.00467723
90500 0.00935446
90600 0.0087698
90700 0.0087698
90800 0.00935446
90900 0.0087698
91000 0.0111084
91100 0.0111084
91200 0.0105238
91300 0.00818515
91400 0.00935446
91500 0.00993911
91600 0.00584654
91700 0.00935446
91800 0.00818515
91900 0.0076005
92000 0.0087698
92100 0.00701584
92200 0.0087698
92300 0.00818515
92400 0.00818515
92500 0.00818515
92600 0.00643119
92700 0.00818515
92800 0.00467723
92900 0.00526188
93000 0.00350792
93100 0.00467723
93200 0.00526188
93300 0.00818515
93400 0.00701584
93500 0.0111084
93600 0.0128624
93700 0.0111084
93800 0.0105238
93900 0.0087698
94000 0.00935446
94100 0.0087698
94200 0.00643119
94300 0.00701584
94400 0.00643119
94500 0.00467723
94600 0.00526188
94700 0.00701584
94800 0.00701584
94900 0.00701584
95000 0.00818515
95100 0.00818515
95200 0.00643119
95300 0.00584654
95400 0.00701584
95500 0.00818515
95600 0.00935446
95700 0.0087698
95800 0.013447
95900 0.0146163
96000 0.0140317
96100 0.0146163
96200 0.013447
96300 0.013447
96400 0.0122777
96500 0.0105238
96600 0.00935446
96700 0.00643119
96800 0.00701584
96900 0.00935446
97000 0.00993911
97100 0.0105238
97200 0.0128624
97300 0.0111084
97400 0.0087698
97500 0.0111084
97600 0.0105238
97700 0.0116931
97800 0.0111084
97900 0.00993911
98000 0.0087698
98100 0.00993911
98200 0.00993911
98300 0.0087698
98400 0.00584654
98500 0.00701584
98600 0.0076005
98700 0.0076005
98800 0.0105238
98900 0.00935446
99000 0.0076005
99100 0.00584654
99200 0.00526188
99300 0.0076005
99400 0.0076005
99500 0.00584654
99600 0.00467723
99700 0.00526188
99800 0.00643119
99900 0.00935446
100000 0.0105238
100100 0.00818515
100200 0.00701584
100300 0.00935446
100400 0.00993911
100500 0.0087698
100600 0.0105238
100700 0.0087698
100800 0.00993911
100900 0.0105238
101000 0.0116931
101100 0.0105238
101200 0.00935446
101300 0.0105238
101400 0.0116931
101500 0.0105238
101600 0.0111084
101700 0.0122777
101800 0.0122777
101900 0.0105238
102000 0.00993911
102100 0.00993911
102200 0.0111084
102300 0.0128624
102400 0.0116931
102500 0.0122777
102600 0.013447
102700 0.0140317
102800 0.0128624
102900 0.0163703
103000 0.0157856
103100 0.0146163
103200 0.016955
103300 0.0122777
103400 0.0128624
103500 0.0122777
103600 0.00818515
103700 0.0122777
103800 0.00935446
103900 0.0087698
104000 0.00701584
104100 0.0087698
104200 0.00701584
104300 0.00818515
104400 0.00584654
104500 0.00643119
104600 0.00584654
104700 0.0087698
104800 0.00818515
104900 0.00818515
105000 0.00993911
105100 0.00935446
105200 0.0087698
105300 0.0111084
105400 0.0122777
105500 0.00935446
105600 0.0087698
105700 0.00993911
105800 0.0076005
105900 0.0076005
106000 0.00818515
106100 0.0105238
106200 0.0111084
106300 0.0116931
106400 0.00993911
106500 0.00935446
106600 0.0111084
106700 0.0146163
106800 0.0128624
