# Time-averaged data for fix myat1
# TimeStep v_nO
2000 207
2100 214
2200 220
2300 224
2400 227
2500 236
2600 243
2700 254
2800 256
2900 262
3000 266
3100 271
3200 273
3300 279
3400 284
3500 288
3600 295
3700 301
3800 306
3900 307
4000 312
4100 317
4200 320
4300 323
4400 326
4500 332
4600 336
4700 337
4800 339
4900 343
5000 345
5100 347
5200 356
5300 362
5400 369
5500 372
5600 374
5700 375
5800 378
5900 381
6000 382
6100 389
6200 391
6300 393
6400 395
6500 397
6600 399
6700 401
6800 407
6900 409
7000 409
7100 410
7200 412
7300 413
7400 415
7500 421
7600 423
7700 423
7800 424
7900 427
8000 433
8100 437
8200 437
8300 440
8400 441
8500 441
8600 443
8700 445
8800 446
8900 451
9000 452
9100 454
9200 456
9300 456
9400 456
9500 456
9600 459
9700 460
9800 461
9900 461
10000 461
10100 462
10200 462
10300 466
10400 466
10500 466
10600 466
10700 466
10800 467
10900 467
11000 468
11100 468
11200 468
11300 468
11400 471
11500 472
11600 472
11700 472
11800 472
11900 473
12000 474
12100 475
12200 475
12300 476
12400 476
12500 476
12600 477
12700 477
12800 477
12900 477
13000 478
13100 478
13200 479
13300 479
13400 479
13500 479
13600 479
13700 479
13800 479
13900 480
14000 480
14100 480
14200 480
14300 481
14400 482
14500 483
14600 484
14700 484
14800 484
14900 484
15000 484
15100 485
15200 485
15300 485
15400 485
15500 485
15600 485
15700 485
15800 488
15900 488
16000 488
16100 488
16200 488
16300 488
16400 488
16500 489
16600 489
16700 491
16800 493
16900 493
17000 493
17100 493
17200 493
17300 493
17400 493
17500 493
17600 493
17700 493
17800 493
17900 493
18000 494
18100 494
18200 494
18300 494
18400 494
18500 494
18600 494
18700 496
18800 497
18900 497
19000 497
19100 497
19200 497
19300 497
19400 497
19500 497
19600 497
19700 497
19800 498
19900 498
20000 498
20100 498
20200 498
20300 498
20400 498
20500 498
20600 498
20700 498
20800 498
20900 498
21000 498
21100 498
21200 498
21300 498
21400 498
21500 498
21600 498
21700 498
21800 498
21900 498
22000 498
22100 498
22200 498
22300 498
22400 498
22500 500
22600 500
22700 500
22800 500
22900 500
23000 500
23100 500
23200 500
23300 500
23400 501
23500 501
23600 502
23700 502
23800 503
23900 503
24000 503
24100 504
24200 504
24300 504
24400 505
24500 505
24600 505
24700 505
24800 505
24900 505
25000 505
25100 505
25200 505
25300 505
25400 505
25500 505
25600 506
25700 506
25800 506
25900 506
26000 506
26100 506
26200 506
26300 506
26400 506
26500 507
26600 507
26700 507
26800 507
26900 508
27000 508
27100 508
27200 508
27300 508
27400 508
27500 508
27600 508
27700 508
27800 508
27900 508
28000 508
28100 508
28200 508
28300 508
28400 508
28500 508
28600 508
28700 508
28800 508
28900 508
29000 508
29100 509
29200 509
29300 509
29400 509
29500 509
29600 509
29700 509
29800 509
29900 510
30000 510
30100 510
30200 510
30300 510
30400 510
30500 510
30600 510
30700 510
30800 510
30900 510
31000 510
31100 510
31200 511
31300 511
31400 511
31500 512
31600 512
31700 512
31800 512
31900 512
32000 512
32100 512
32200 512
32300 512
32400 512
32500 512
32600 512
32700 512
32800 512
32900 512
33000 512
33100 512
33200 512
33300 512
33400 512
33500 512
33600 513
33700 513
33800 513
33900 513
34000 513
34100 513
34200 513
34300 513
34400 513
34500 513
34600 513
34700 513
34800 513
34900 513
35000 513
35100 513
35200 514
35300 514
35400 514
35500 514
35600 514
35700 514
35800 514
35900 514
36000 514
36100 514
36200 514
36300 514
36400 514
36500 514
36600 514
36700 514
36800 515
36900 515
37000 515
37100 515
37200 515
37300 515
37400 515
37500 515
37600 515
37700 515
37800 515
37900 515
38000 515
38100 515
38200 515
38300 515
38400 515
38500 515
38600 515
38700 515
38800 515
38900 515
39000 515
39100 515
39200 515
39300 516
39400 516
39500 516
39600 516
39700 516
39800 516
39900 516
40000 516
40100 516
40200 516
40300 516
40400 516
40500 516
40600 516
40700 516
40800 516
40900 516
41000 516
41100 516
41200 516
41300 516
41400 516
41500 516
41600 516
41700 516
41800 516
41900 516
42000 516
42100 516
42200 516
42300 516
42400 516
42500 516
42600 517
42700 518
42800 518
42900 518
43000 518
43100 518
43200 518
43300 519
43400 519
43500 519
43600 519
43700 519
43800 519
43900 520
44000 520
44100 521
44200 521
44300 521
44400 521
44500 521
44600 521
44700 521
44800 521
44900 521
45000 521
45100 521
45200 521
45300 521
45400 521
45500 522
45600 522
45700 522
45800 522
45900 522
46000 522
46100 522
46200 522
46300 522
46400 522
46500 522
46600 522
46700 522
46800 522
46900 522
47000 522
47100 522
47200 522
47300 522
47400 522
47500 522
47600 522
47700 522
47800 522
47900 522
48000 522
48100 522
48200 522
48300 522
48400 522
48500 523
48600 523
48700 523
48800 523
48900 523
49000 523
49100 524
49200 524
49300 524
49400 524
49500 524
49600 524
49700 524
49800 524
49900 524
50000 524
50100 524
50200 524
50300 524
50400 524
50500 524
50600 524
50700 524
50800 524
50900 525
51000 526
51100 526
51200 526
51300 526
51400 526
51500 526
51600 526
51700 526
51800 526
51900 526
52000 526
52100 527
52200 528
52300 528
52400 528
52500 530
52600 530
52700 530
52800 531
52900 531
53000 531
53100 531
53200 531
53300 531
53400 531
53500 531
53600 531
53700 531
53800 531
53900 531
54000 531
54100 531
54200 531
54300 531
54400 531
54500 531
54600 531
54700 531
54800 531
54900 531
55000 531
55100 531
55200 531
55300 531
55400 531
55500 531
55600 531
55700 531
55800 531
55900 531
56000 531
56100 531
56200 531
56300 531
56400 531
56500 531
56600 531
56700 531
56800 531
56900 531
57000 531
57100 531
57200 531
57300 531
57400 531
57500 532
57600 532
57700 532
57800 532
57900 532
58000 532
58100 532
58200 532
58300 532
58400 532
58500 532
58600 532
58700 532
58800 532
58900 532
59000 532
59100 532
59200 532
59300 532
59400 532
59500 532
59600 532
59700 532
59800 532
59900 532
60000 532
60100 532
60200 532
60300 532
60400 532
60500 532
60600 532
60700 532
60800 532
60900 532
61000 532
61100 532
61200 532
61300 532
61400 532
61500 532
61600 532
61700 532
61800 532
61900 532
62000 532
62100 532
62200 532
62300 532
62400 532
62500 532
62600 532
62700 532
62800 532
62900 532
63000 532
63100 532
63200 532
63300 532
63400 532
63500 532
63600 533
63700 533
63800 533
63900 533
64000 533
64100 533
64200 533
64300 533
64400 533
64500 533
64600 533
64700 533
64800 533
64900 533
65000 534
65100 534
65200 534
65300 534
65400 534
65500 534
65600 534
65700 534
65800 534
65900 534
66000 534
66100 534
66200 534
66300 534
66400 534
66500 534
66600 535
66700 535
66800 535
66900 535
67000 535
67100 535
67200 535
67300 535
67400 536
67500 536
67600 536
67700 536
67800 536
67900 536
68000 536
68100 536
68200 536
68300 536
68400 536
68500 536
68600 536
68700 536
68800 536
68900 536
69000 536
69100 536
69200 536
69300 536
69400 536
69500 536
69600 536
69700 536
69800 536
69900 536
70000 536
70100 536
70200 536
70300 536
70400 536
70500 536
70600 536
70700 536
70800 536
70900 536
71000 536
71100 536
71200 536
71300 536
71400 536
71500 536
71600 536
71700 536
71800 536
71900 536
72000 536
72100 537
72200 537
72300 537
72400 537
72500 537
72600 537
72700 537
72800 537
72900 537
73000 537
73100 537
73200 537
73300 537
73400 537
73500 538
73600 538
73700 538
73800 538
73900 538
74000 538
74100 538
74200 538
74300 538
74400 538
74500 538
74600 538
74700 538
74800 538
74900 538
75000 538
75100 538
75200 538
75300 538
75400 538
75500 538
75600 538
75700 538
75800 538
75900 538
76000 538
76100 538
76200 538
76300 538
76400 538
76500 538
76600 538
76700 538
76800 538
76900 538
77000 538
77100 538
77200 538
77300 538
77400 538
77500 538
77600 538
77700 538
77800 538
77900 538
78000 538
78100 538
78200 538
78300 538
78400 538
78500 538
78600 538
78700 538
78800 538
78900 538
79000 538
79100 538
79200 538
79300 538
79400 538
79500 538
79600 538
79700 538
79800 538
79900 538
80000 538
80100 538
80200 538
80300 538
80400 538
80500 538
80600 538
80700 538
80800 538
80900 538
81000 538
81100 538
81200 538
81300 538
81400 538
81500 538
81600 538
81700 538
81800 538
81900 538
82000 538
82100 538
82200 538
82300 538
82400 538
82500 538
82600 538
82700 538
82800 538
82900 538
83000 538
83100 538
83200 538
83300 538
83400 538
83500 538
83600 538
83700 538
83800 538
83900 538
84000 538
84100 538
84200 538
84300 538
84400 538
84500 538
84600 538
84700 538
84800 538
84900 538
85000 538
85100 538
85200 538
85300 538
85400 538
85500 538
85600 538
85700 538
85800 538
85900 538
86000 538
86100 538
86200 538
86300 538
86400 538
86500 538
86600 539
86700 539
86800 539
86900 539
87000 539
87100 539
87200 539
87300 539
87400 539
87500 539
87600 539
87700 539
87800 539
87900 539
88000 539
88100 539
88200 539
88300 539
88400 539
88500 539
88600 539
88700 539
88800 539
88900 539
89000 539
89100 539
89200 539
89300 539
89400 539
89500 539
89600 539
89700 539
89800 539
89900 539
90000 539
90100 539
90200 539
90300 539
90400 539
90500 539
90600 539
90700 539
90800 539
90900 540
91000 540
91100 540
91200 540
91300 540
91400 540
91500 540
91600 540
91700 540
91800 541
91900 541
92000 541
92100 541
92200 541
92300 541
92400 541
92500 541
92600 541
92700 541
92800 542
92900 542
93000 542
93100 542
93200 542
93300 542
93400 542
93500 542
93600 542
93700 542
93800 542
93900 542
94000 542
94100 542
94200 542
94300 542
94400 542
94500 542
94600 542
94700 542
94800 542
94900 542
95000 542
95100 542
95200 542
95300 542
95400 542
95500 542
95600 542
95700 542
95800 542
95900 542
96000 542
96100 542
96200 542
96300 542
96400 542
96500 542
96600 542
96700 542
96800 542
96900 542
97000 542
97100 542
97200 542
97300 542
97400 542
97500 542
97600 542
97700 542
97800 542
97900 542
98000 542
98100 542
98200 542
98300 542
98400 542
98500 542
98600 542
98700 542
98800 542
98900 542
99000 542
99100 542
99200 542
99300 542
99400 542
99500 542
99600 542
99700 542
99800 542
99900 542
100000 542
100100 542
100200 543
100300 543
100400 543
100500 543
100600 543
100700 543
100800 543
100900 543
101000 543
101100 543
101200 543
101300 543
101400 543
101500 543
101600 543
101700 543
101800 543
101900 543
102000 543
102100 543
102200 543
102300 543
102400 543
102500 543
102600 543
102700 543
102800 543
102900 543
103000 543
103100 543
103200 543
103300 543
103400 543
103500 543
103600 543
103700 543
103800 543
103900 543
104000 543
104100 543
104200 543
104300 543
104400 543
104500 543
104600 543
104700 543
104800 543
104900 543
105000 543
105100 543
105200 543
105300 543
105400 543
105500 543
105600 543
105700 543
105800 543
105900 543
106000 543
106100 543
106200 543
106300 543
106400 543
106500 543
106600 543
106700 543
106800 543
106900 543
107000 543
107100 543
107200 543
107300 543
107400 543
107500 543
107600 543
107700 543
107800 543
107900 543
108000 543
108100 543
108200 543
108300 543
108400 543
108500 543
108600 543
108700 543
108800 543
108900 543
109000 543
109100 543
109200 543
109300 543
109400 543
109500 543
109600 543
109700 543
109800 543
109900 543
110000 543
110100 543
110200 543
110300 543
110400 543
110500 543
110600 543
110700 543
110800 543
110900 543
111000 543
111100 543
111200 543
111300 543
111400 544
111500 544
111600 544
111700 544
111800 544
111900 544
112000 544
112100 544
112200 544
112300 544
112400 544
112500 544
112600 544
112700 544
112800 544
112900 544
113000 544
113100 544
113200 544
113300 544
113400 544
113500 544
113600 544
113700 544
113800 544
113900 544
114000 544
114100 544
114200 544
114300 544
114400 544
114500 544
114600 544
114700 544
114800 544
114900 544
115000 544
115100 544
115200 544
115300 544
115400 544
115500 544
115600 544
115700 544
115800 544
115900 544
116000 544
116100 544
116200 545
116300 545
116400 545
116500 545
116600 545
116700 545
116800 545
116900 545
117000 545
117100 545
117200 545
117300 545
117400 545
117500 545
117600 545
117700 545
117800 545
117900 545
118000 545
118100 545
118200 545
118300 545
118400 545
118500 545
118600 545
118700 545
118800 545
118900 545
119000 545
