0.000000000000000000e+00 4.285088010627698639e-03
1.000000000000000000e+00 3.749452009299236027e-02
2.000000000000000000e+00 9.277215543008966725e-02
3.000000000000000000e+00 1.017708402524078459e-01
4.000000000000000000e+00 1.047704018598472064e-01
5.000000000000000000e+00 1.058416738625041487e-01
6.000000000000000000e+00 1.075557090667552118e-01
7.000000000000000000e+00 1.071272002656924599e-01
8.000000000000000000e+00 1.075557090667552118e-01
9.000000000000000000e+00 1.079842178678179776e-01
1.000000000000000000e+01 1.088412354699435231e-01
1.100000000000000000e+01 1.101267618731318204e-01
1.200000000000000000e+01 1.118407970773829391e-01
1.300000000000000000e+01 1.120550514779142942e-01
1.400000000000000000e+01 1.122693058784457049e-01
1.500000000000000000e+01 1.126978146795084568e-01
1.600000000000000000e+01 1.129120690800398674e-01
1.700000000000000000e+01 1.129120690800398674e-01
1.800000000000000000e+01 1.131263234805712503e-01
1.900000000000000000e+01 1.135548322816340300e-01
2.000000000000000000e+01 1.141975954832281648e-01
