# Time-averaged data for fix myat2
# TimeStep v_density
2000 0.396327
2100 0.402071
2200 0.413558
2300 0.419302
2400 0.43079
2500 0.440363
2600 0.442278
2700 0.45568
2800 0.45568
2900 0.461424
3000 0.465253
3100 0.474826
3200 0.470997
3300 0.48057
3400 0.486314
3500 0.492058
3600 0.501631
3700 0.516948
3800 0.518863
3900 0.520777
4000 0.528436
4100 0.53418
4200 0.541838
4300 0.551411
4400 0.549497
4500 0.553326
4600 0.557155
4700 0.560984
4800 0.564814
4900 0.574387
5000 0.578216
5100 0.582045
5200 0.591618
5300 0.593533
5400 0.601191
5500 0.603106
5600 0.612679
5700 0.616508
5800 0.626082
5900 0.627996
6000 0.639484
6100 0.645228
6200 0.649057
6300 0.649057
6400 0.650972
6500 0.654801
6600 0.656715
6700 0.656715
6800 0.65863
6900 0.662459
7000 0.666289
7100 0.672032
7200 0.673947
7300 0.673947
7400 0.677776
7500 0.687349
7600 0.691179
7700 0.693093
7800 0.695008
7900 0.695008
8000 0.698837
8100 0.702666
8200 0.704581
8300 0.706496
8400 0.71224
8500 0.714154
8600 0.717983
8700 0.725642
8800 0.731386
8900 0.740959
9000 0.744788
9100 0.744788
9200 0.750532
9300 0.752447
9400 0.752447
9500 0.756276
9600 0.760105
9700 0.76202
9800 0.769678
9900 0.777337
10000 0.781166
10100 0.781166
10200 0.788824
10300 0.792654
10400 0.796483
10500 0.798398
10600 0.798398
10700 0.800312
10800 0.802227
10900 0.802227
11000 0.802227
11100 0.807971
11200 0.809885
11300 0.8118
11400 0.813715
11500 0.813715
11600 0.813715
11700 0.813715
11800 0.813715
11900 0.817544
12000 0.823288
12100 0.827117
12200 0.830946
12300 0.832861
12400 0.834775
12500 0.83669
12600 0.83669
12700 0.834775
12800 0.834775
12900 0.838605
13000 0.840519
13100 0.842434
13200 0.844348
13300 0.846263
13400 0.848178
13500 0.850092
13600 0.855836
13700 0.855836
13800 0.855836
13900 0.857751
14000 0.859665
14100 0.859665
14200 0.86158
14300 0.863495
14400 0.863495
14500 0.865409
14600 0.867324
14700 0.867324
14800 0.871153
14900 0.873068
15000 0.873068
15100 0.876897
15200 0.876897
15300 0.876897
15400 0.876897
15500 0.878812
15600 0.878812
15700 0.880726
15800 0.884556
15900 0.884556
16000 0.884556
16100 0.884556
16200 0.88647
16300 0.88647
16400 0.88647
16500 0.888385
16600 0.888385
16700 0.888385
16800 0.896043
16900 0.896043
17000 0.896043
17100 0.896043
17200 0.899873
17300 0.899873
17400 0.901787
17500 0.901787
17600 0.901787
17700 0.901787
17800 0.901787
17900 0.905616
18000 0.905616
18100 0.907531
18200 0.909446
18300 0.909446
18400 0.909446
18500 0.909446
18600 0.91136
18700 0.91136
18800 0.91136
18900 0.91136
19000 0.915189
19100 0.915189
19200 0.915189
19300 0.915189
19400 0.915189
19500 0.919019
19600 0.920933
19700 0.922848
19800 0.922848
19900 0.922848
20000 0.924763
20100 0.924763
20200 0.924763
20300 0.924763
20400 0.924763
20500 0.926677
20600 0.924763
20700 0.924763
20800 0.924763
20900 0.924763
21000 0.924763
21100 0.924763
21200 0.924763
21300 0.924763
21400 0.924763
21500 0.924763
21600 0.924763
21700 0.924763
21800 0.924763
21900 0.924763
22000 0.926677
22100 0.928592
22200 0.930506
22300 0.930506
22400 0.930506
22500 0.930506
22600 0.930506
22700 0.930506
22800 0.932421
22900 0.934336
23000 0.934336
23100 0.934336
23200 0.934336
23300 0.934336
23400 0.934336
23500 0.934336
23600 0.934336
23700 0.934336
23800 0.93625
23900 0.93625
24000 0.93625
24100 0.93625
24200 0.938165
24300 0.938165
24400 0.94008
24500 0.94008
24600 0.94008
24700 0.94008
24800 0.94008
24900 0.94008
25000 0.94008
25100 0.94008
25200 0.94008
25300 0.941994
25400 0.941994
25500 0.943909
25600 0.945823
25700 0.945823
25800 0.945823
25900 0.947738
26000 0.947738
26100 0.947738
26200 0.947738
26300 0.947738
26400 0.949653
26500 0.949653
26600 0.949653
26700 0.949653
26800 0.949653
26900 0.949653
27000 0.949653
27100 0.949653
27200 0.949653
27300 0.951567
27400 0.951567
27500 0.951567
27600 0.951567
27700 0.951567
27800 0.951567
27900 0.951567
28000 0.951567
28100 0.953482
28200 0.953482
28300 0.953482
28400 0.953482
28500 0.953482
28600 0.955397
28700 0.955397
28800 0.957311
28900 0.957311
29000 0.957311
29100 0.957311
29200 0.957311
29300 0.959226
29400 0.959226
29500 0.959226
29600 0.96114
29700 0.96114
29800 0.96114
29900 0.96114
30000 0.96114
30100 0.96114
30200 0.96114
30300 0.96114
30400 0.96114
30500 0.96114
30600 0.96114
30700 0.96114
30800 0.96114
30900 0.96114
31000 0.96114
31100 0.96114
31200 0.96114
31300 0.96114
31400 0.96114
31500 0.96114
31600 0.96114
31700 0.96114
31800 0.96114
31900 0.963055
32000 0.963055
32100 0.963055
32200 0.96497
32300 0.96497
32400 0.96497
32500 0.96497
32600 0.96497
32700 0.96497
32800 0.966884
32900 0.966884
33000 0.966884
33100 0.966884
33200 0.966884
33300 0.966884
33400 0.966884
33500 0.966884
33600 0.968799
33700 0.970714
33800 0.970714
33900 0.970714
34000 0.972628
34100 0.974543
34200 0.974543
34300 0.974543
34400 0.974543
34500 0.974543
34600 0.974543
34700 0.974543
34800 0.974543
34900 0.976457
35000 0.976457
35100 0.976457
35200 0.976457
35300 0.976457
35400 0.976457
35500 0.976457
35600 0.976457
35700 0.976457
35800 0.976457
35900 0.978372
36000 0.978372
36100 0.978372
36200 0.978372
36300 0.978372
36400 0.978372
36500 0.978372
36600 0.978372
36700 0.978372
36800 0.978372
36900 0.978372
37000 0.978372
37100 0.978372
37200 0.978372
37300 0.978372
37400 0.978372
37500 0.978372
37600 0.978372
37700 0.978372
37800 0.978372
37900 0.978372
38000 0.978372
38100 0.978372
38200 0.978372
38300 0.978372
38400 0.978372
38500 0.980287
38600 0.980287
38700 0.980287
38800 0.980287
38900 0.980287
39000 0.980287
39100 0.980287
39200 0.980287
39300 0.980287
39400 0.980287
39500 0.980287
39600 0.980287
39700 0.980287
39800 0.980287
39900 0.980287
40000 0.982201
40100 0.982201
40200 0.982201
40300 0.982201
40400 0.982201
40500 0.982201
40600 0.982201
40700 0.982201
40800 0.982201
40900 0.982201
41000 0.982201
41100 0.982201
41200 0.982201
41300 0.982201
41400 0.982201
41500 0.982201
41600 0.982201
41700 0.982201
41800 0.982201
41900 0.982201
42000 0.982201
42100 0.982201
42200 0.982201
42300 0.982201
42400 0.982201
42500 0.982201
42600 0.982201
42700 0.982201
42800 0.982201
42900 0.982201
43000 0.982201
43100 0.982201
43200 0.982201
43300 0.982201
43400 0.984116
43500 0.984116
43600 0.984116
43700 0.984116
43800 0.984116
43900 0.984116
44000 0.984116
44100 0.984116
44200 0.984116
44300 0.984116
44400 0.984116
44500 0.984116
44600 0.984116
44700 0.984116
44800 0.984116
44900 0.984116
45000 0.984116
45100 0.984116
45200 0.984116
45300 0.984116
45400 0.984116
45500 0.984116
45600 0.984116
45700 0.984116
45800 0.984116
45900 0.984116
46000 0.984116
46100 0.984116
46200 0.984116
46300 0.984116
46400 0.984116
46500 0.984116
46600 0.984116
46700 0.984116
46800 0.984116
46900 0.984116
47000 0.984116
47100 0.984116
47200 0.984116
47300 0.984116
47400 0.984116
47500 0.984116
47600 0.984116
47700 0.984116
47800 0.984116
47900 0.984116
48000 0.984116
48100 0.984116
48200 0.984116
48300 0.984116
48400 0.984116
48500 0.984116
48600 0.984116
48700 0.984116
48800 0.984116
48900 0.984116
49000 0.984116
49100 0.984116
49200 0.984116
49300 0.984116
49400 0.984116
49500 0.984116
49600 0.984116
49700 0.984116
49800 0.984116
49900 0.984116
50000 0.984116
50100 0.984116
50200 0.984116
50300 0.984116
50400 0.984116
50500 0.984116
50600 0.984116
50700 0.984116
50800 0.984116
50900 0.984116
51000 0.984116
51100 0.984116
51200 0.984116
51300 0.984116
51400 0.984116
51500 0.984116
51600 0.984116
