LAMMPS data file via write_data, version 27 Jun 2024, timestep = 0, units = real

3471 atoms
4 atom types
10 bonds
1 bond types
5 angles
1 angle types

0.03 40.149999 xlo xhi
-0.061998 39.538 ylo yhi
-0.327001 39.753001 zlo zhi

Atom Type Labels

1 O
2 Si
3 OC
4 CO

Bond Type Labels

1 CO-OC

Angle Type Labels

1 OC-CO-OC

Masses

1 15.9994
2 28.0855
3 15.9994
4 12.011

Pair Coeffs # lj/cut/coul/long

1 0.25478 2.708
2 0.03696 0.677
3 0.164858 3.011
4 0.05894 2.789

Bond Coeffs # harmonic

1 0 1.18

Angle Coeffs # harmonic

1 0 180

Atoms # full

505 1 1 -0.4 3.421 0.878 4.146 0 0 0
673 1 1 -0.4 5.846 2.558 1.393 0 0 0
733 1 1 -0.4 5.846 7.311 1.393 0 0 0
769 1 1 -0.4 4.086 0.898 0.361 0 0 0
865 1 1 -0.4 5.898 0.02 2.055 0 0 0
961 1 1 -0.4 2.16 2.497 1.16 0 0 0
1021 1 1 -0.4 2.16 7.372 1.16 0 0 0
1465 1 1 -0.4 0.179 2.866 2.85 0 0 0
1525 1 1 -0.4 0.179 7.003 2.85 0 0 0
1561 1 1 -0.4 2.65 3.334 3.605 0 0 0
1621 1 1 -0.4 2.65 6.535 3.605 0 0 0
1657 1 1 -0.4 1.481 4.935 1.881 0 0 0
1705 1 1 -0.4 3.582 2.742 5.994 0 0 0
1765 1 1 -0.4 3.582 7.127 5.994 0 0 0
1801 1 1 -0.4 5.203 2.799 3.929 0 0 0
1861 1 1 -0.4 5.203 7.07 3.929 0 0 0
1897 1 1 -0.4 4.133 4.935 7.332 0 0 0
1945 1 1 -0.4 6.075 3.33 6.575 0 0 0
2005 1 1 -0.4 6.075 6.539 6.575 0 0 0
2185 1 1 -0.4 7.68 3.217 3.162 0 0 0
2245 1 1 -0.4 7.68 6.652 3.162 0 0 0
2281 1 1 -0.4 5.794 4.935 2.514 0 0 0
2497 2 2 0.8 5.609 1.058 0.861 0 0 0
2593 2 2 0.8 2.503 1.015 0.632 0 0 0
2905 2 2 0.8 1.617 3.407 2.372 0 0 0
2965 2 2 0.8 1.617 6.462 2.372 0 0 0
3001 2 2 0.8 3.713 2.438 4.417 0 0 0
3061 2 2 0.8 3.713 7.431 4.417 0 0 0
3097 2 2 0.8 4.554 3.399 7.099 0 0 0
3157 2 2 0.8 4.554 6.47 7.099 0 0 0
3193 2 2 0.8 7.664 3.397 6.811 0 0 0
3253 2 2 0.8 7.664 6.472 6.811 0 0 0
3385 2 2 0.8 6.133 3.379 2.749 0 0 0
3445 2 2 0.8 6.133 6.49 2.749 0 0 0
493 1 1 -0.4 13.466 0.878 2.425 0 0 0
709 1 1 -0.4 15.891 2.558 5.178 0 0 0
745 1 1 -0.4 15.891 7.311 5.178 0 0 0
805 1 1 -0.4 14.131 0.898 6.21 0 0 0
901 1 1 -0.4 15.943 0.02 4.516 0 0 0
997 1 1 -0.4 12.205 2.497 5.411 0 0 0
1033 1 1 -0.4 12.205 7.372 5.411 0 0 0
1093 1 1 -0.4 11.745 0.73 7.303 0 0 0
1273 1 1 -0.4 8.582 0.811 3.722 0 0 0
